date,regulated_rate,wholesale_rate
2023-01-01,13.5,12.61
2023-02-01,13.5,12.35
2023-03-01,13.5,17.46
2023-04-01,20.13,14.23
2023-05-01,16.78,15.29
2023-06-01,17.62,18.44
2023-07-01,26.58,15.50
2023-08-01,32.43,18.68
2023-09-01,28.88,11.17
2023-10-01,20.48,9.93
2023-11-01,19.84,9.38
2023-12-01,20.72,5.28
2024-01-01,19.24,15.28
2024-02-01,17.82,8.75
2024-03-01,13.21,6.36
2024-04-01,14.24,6.86
2024-05-01,10.58,3.54
2024-06-01,11.29,3.23
2024-07-01,12.14,8.86
2024-08-01,13.38,3.43
2024-09-01,11.36,4.28
2024-10-01,10.39,5.76
2024-11-01,10.46,7.12
2024-12-01,11.84,2.59
