date,regulated_rate,wholesale_rate
2023-01-01,6.45,4.13
2023-02-01,3.72,3.14
2023-03-01,2.22,3.19
2023-04-01,3.38,2.62
2023-05-01,2.42,2.14
2023-06-01,2.45,2.60
2023-07-01,2.27,2.83
2023-08-01,3.37,2.91
2023-09-01,2.72,2.91
2023-10-01,2.52,2.88
2023-11-01,2.85,3.13
2023-12-01,2.90,2.82
2024-01-01,2.173,3.680
2024-02-01,4.430,1.710
2024-03-01,2.133,1.700
2024-04-01,1.933,1.130
2024-05-01,1.535,0.960
2024-06-01,1.050,0.800
2024-07-01,0.890,0.930
2024-08-01,0.936,0.600
2024-09-01,0.850,0.330
2024-10-01,0.630,0.830
2024-11-01,1.96,1.350
2024-12-01,2.12,1.770
